type,sample_id,ubicacion,edad,replicate,ic50,teac,Prom,Desvt
Muestra,A-0,Talag,0,1,135.5384622,0.318899022,0.318438427,0.000410324
Muestra,A-0,Talag,0,2,135.7916885,0.318304334,,
Muestra,A-0,Talag,0,3,135.8738219,0.318111925,,
Muestra,A-2,Talag,2,1,146.4506375,0.295137554,0.290649375,0.008124405
Muestra,A-2,Talag,2,2,153.670603,0.281270992,,
Muestra,A-2,Talag,2,3,146.25142,0.295539578,,
Muestra,B-0,Alto Pano,0,1,119.7458204,0.360956924,0.357750865,0.002856112
Muestra,B-0,Alto Pano,0,2,121.5913371,0.35547831,,
Muestra,B-0,Alto Pano,0,3,121.135033,0.356817363,,
Muestra,B-2,Alto Pano,2,1,104.0167929,0.41553947,0.388527359,0.04591789
Muestra,B-2,Alto Pano,2,2,104.2692211,0.414533479,,
Muestra,C-0,Alto Tena,0,1,128.8283369,0.335509128,0.337735106,0.006766649
Muestra,C-0,Alto Tena,0,2,125.1630048,0.345334335,,
Muestra,C-0,Alto Tena,0,3,130.0482662,0.332361855,,
Muestra,C-2,Alto Tena,2,1,141.1527978,0.306214851,0.307776983,0.002221204
Muestra,C-2,Alto Tena,2,2,139.2856381,0.31031974,,
Muestra,C-2,Alto Tena,2,3,140.8852541,0.306796359,,
