type,sample_id,ubicacion,edad,replicate,ic50,teac
Muestra,A-0,Talag,0,1,135.53846218268902,0.3188990216303127
Muestra,A-0,Talag,0,2,135.79168848373226,0.3183043341309859
Muestra,A-0,Talag,0,3,135.87382188728444,0.31811192460011045
Muestra,A-2,Talag,2,1,146.45063750114662,0.2951375543380496
Muestra,A-2,Talag,2,2,153.67060304172153,0.28127099215977963
Muestra,A-2,Talag,2,3,146.2514200465514,0.295539578142755
Muestra,B-0,Alto Pano,0,1,119.74582044455062,0.36095692378133154
Muestra,B-0,Alto Pano,0,2,121.59133708673814,0.35547830971299493
Muestra,B-0,Alto Pano,0,3,121.13503295826398,0.3568173626388396
Muestra,B-2,Alto Pano,2,1,104.0167929357233,0.4155394697666383
Muestra,B-2,Alto Pano,2,2,104.26922108000515,0.41453347915749605
Muestra,C-0,Alto Tena,0,1,128.8283368714524,0.3355091281389867
Muestra,C-0,Alto Tena,0,2,125.16300476072105,0.3453343347418664
Muestra,C-0,Alto Tena,0,3,130.04826619711284,0.33236185492718434
Muestra,C-2,Alto Tena,2,1,141.15279784944238,0.30621485115328456
Muestra,C-2,Alto Tena,2,2,139.28563805796364,0.3103197399673713
Muestra,C-2,Alto Tena,2,3,140.88525413350007,0.3067963588466067
