type,sample_id,ubicacion,edad,replicate,ic50,teac
Muestra,A-0,Talag,0,1,14.54949693,0.33519388
Muestra,A-0,Talag,0,2,17.89868701,0.27247263
Muestra,A-0,Talag,0,3,16.12296371,0.302481753
Muestra,A-2,Talag,1,1,49.26507226,0.098993102
Muestra,A-2,Talag,1,2,49.89378013,0.097745697
Muestra,A-2,Talag,1,3,51.93602466,0.093902111
Muestra,B-0,Alto Pano,0,1,19.08158806,0.255581575
Muestra,B-0,Alto Pano,0,2,16.12663412,0.302412909
Muestra,B-0,Alto Pano,0,3,17.15800136,0.284234873
Muestra,B-2,Alto Pano,1,1,21.99278337,0.221750119
Muestra,B-2,Alto Pano,1,2,21.58288411,0.225961568
Muestra,B-2,Alto Pano,1,3,21.0620336,0.231549452
Muestra,C-0,Alto Tena,0,1,99.72972658,0.04890119
Muestra,C-0,Alto Tena,0,2,95.61634456,0.051004902
Muestra,C-0,Alto Tena,0,3,74.53168604,0.065433946
Muestra,C-2,Alto Tena,1,1,26.38260752,0.184852931
Muestra,C-2,Alto Tena,1,2,27.02626205,0.180450494
Muestra,C-2,Alto Tena,1,3,25.68831957,0.189849021
