type,sample_id,ubicacion,edad,replicate,ic50,teac
Muestra,A-0,Talag,0,1,14.549497008465432,0.335193939794047
Muestra,A-2,Talag,1,1,49.26493538692335,0.09899339532238036
Muestra,A-2,Talag,1,2,49.893714687583056,0.09774584343592548
Muestra,A-2,Talag,1,3,51.93598521235103,0.09390219910817134
Muestra,B-0,Alto Pano,0,1,19.081589077015,0.25558160825105347
Muestra,B-0,Alto Pano,0,2,4996528431151632e3,9.760583356002576e-19
Muestra,B-0,Alto Pano,0,3,3.5605651737776957e+18,1.3696991871419452e-18
Muestra,B-2,Alto Pano,1,1,21.992783307969827,0.2217501603138116
Muestra,B-2,Alto Pano,1,2,21.58288383541463,0.2259616120569987
Muestra,B-2,Alto Pano,1,3,21.062033633367164,0.23154949370905373
Muestra,C-0,Alto Tena,0,1,99.72741522051159,0.04890233255826091
Muestra,C-0,Alto Tena,0,2,95.61737358826694,0.05100436292351441
Muestra,C-0,Alto Tena,0,3,74.53136807341377,0.06543423729302077
Muestra,C-2,Alto Tena,1,1,26.382610934670183,0.184852941066585
Muestra,C-2,Alto Tena,1,2,27.02626379816012,0.18045051512526256
Muestra,C-2,Alto Tena,1,3,25.688323380166523,0.1898490279850103
